location,timestamp
Front Left,2014-01-28T23:28:29.000Z
Party in the Back,2014-01-28T23:28:43.000Z
Mid Right Spot,2014-01-28T23:28:54.000Z
Another Spot,2014-01-28T23:28:56.000Z
Mid Right Spot,2014-01-28T23:28:57.000Z
Back Right,2014-01-28T23:29:13.000Z
Near the Front,2014-01-28T23:29:25.000Z
Front Door,2014-01-28T23:38:18.000Z
Mid Right Spot,2014-01-28T23:41:51.000Z
Near the Front,2014-01-28T23:42:12.000Z
Back Right,2014-01-28T23:42:18.000Z
Another Spot,2014-01-28T23:42:31.000Z
Left Side,2014-01-28T23:43:10.000Z
Front Left,2014-01-28T23:43:17.000Z
Front Left,2014-01-28T23:43:34.000Z
Near the Party,2014-01-28T23:44:12.000Z
Near the Party,2014-01-28T23:44:17.000Z
Near the Party,2014-01-28T23:44:23.000Z
Back Left,2014-01-28T23:44:28.000Z
Near the Party,2014-01-28T23:44:35.000Z
Near the Party,2014-01-28T23:44:56.000Z
Near the Party,2014-01-28T23:45:18.000Z
Left Side,2014-01-28T23:46:33.000Z
Party in the Back,2014-01-28T23:46:55.000Z
Front Door,2014-01-28T23:55:18.000Z
Left Side,2014-01-29T00:02:19.000Z
Party in the Back,2014-01-29T00:04:47.000Z
Left Side,2014-01-29T00:24:25.000Z
Mid Right Spot,2014-01-29T00:53:13.000Z
Party in the Back,2014-01-29T01:09:35.000Z
Party in the Back,2014-01-29T01:39:39.000Z
Party in the Back,2014-01-29T01:39:45.000Z
Front Door,2014-01-29T01:54:36.000Z
Party in the Back,2014-01-29T01:55:21.000Z
Front Door,2014-01-29T02:02:32.000Z
Front Door,2014-01-29T02:04:14.000Z
Front Door,2014-01-29T02:04:54.000Z
Front Door,2014-01-29T02:05:36.000Z
Front Door,2014-01-29T02:05:38.000Z
Front Door,2014-01-29T02:05:47.000Z
Front Door,2014-01-29T02:05:48.000Z
Front Door,2014-01-29T02:05:52.000Z
Front Door,2014-01-29T02:05:55.000Z
Front Door,2014-01-29T02:05:59.000Z
Front Door,2014-01-29T02:08:21.000Z
Front Door,2014-01-29T02:08:41.000Z
Front Door,2014-01-29T02:08:54.000Z
Front Door,2014-01-29T02:08:56.000Z
Near the Front,2014-01-29T02:08:59.000Z
Front Door,2014-01-29T02:09:12.000Z
Front Door,2014-01-29T02:09:14.000Z
Front Door,2014-01-29T02:09:17.000Z
Front Door,2014-01-29T02:09:18.000Z
Front Door,2014-01-29T02:09:19.000Z
Front Door,2014-01-29T02:09:23.000Z
Front Door,2014-01-29T02:09:25.000Z
Front Door,2014-01-29T02:09:28.000Z
Front Door,2014-01-29T02:09:33.000Z
Front Door,2014-01-29T02:09:34.000Z
Front Door,2014-01-29T02:09:41.000Z
Front Door,2014-01-29T02:09:44.000Z
Front Door,2014-01-29T02:09:48.000Z
Front Door,2014-01-29T02:09:48.000Z
Front Door,2014-01-29T02:09:49.000Z
Front Door,2014-01-29T02:10:18.000Z
Front Door,2014-01-29T02:10:19.000Z
Front Door,2014-01-29T02:10:24.000Z
Front Door,2014-01-29T02:10:27.000Z
Front Door,2014-01-29T02:10:44.000Z
Front Door,2014-01-29T02:10:48.000Z
Another Spot,2014-01-29T02:10:55.000Z
Front Door,2014-01-29T02:11:08.000Z
Front Door,2014-01-29T02:11:16.000Z
Front Door,2014-01-29T02:11:18.000Z
Front Door,2014-01-29T02:11:20.000Z
Front Door,2014-01-29T02:11:26.000Z
Front Door,2014-01-29T02:11:48.000Z
Front Door,2014-01-29T02:12:10.000Z
Front Door,2014-01-29T02:12:13.000Z
Front Door,2014-01-29T02:12:25.000Z
Front Door,2014-01-29T02:12:31.000Z
Front Door,2014-01-29T02:12:50.000Z
Front Door,2014-01-29T02:12:53.000Z
Front Door,2014-01-29T02:12:56.000Z
Another Spot,2014-01-29T02:12:57.000Z
Front Door,2014-01-29T02:13:09.000Z
Front Door,2014-01-29T02:13:12.000Z
Front Door,2014-01-29T02:13:13.000Z
Front Door,2014-01-29T02:13:17.000Z
Front Door,2014-01-29T02:13:19.000Z
Front Door,2014-01-29T02:13:22.000Z
Mid Right Spot,2014-01-29T02:13:30.000Z
